,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g
200,7.41,7.41,0.000556,0.0222,3.7,81.5,37.0,0.63
201,7.14,7.14,0.000536,0.0214,5.36,78.6,32.1,0.571
202,4.76,9.52,0.0,0.0,14.3,66.7,26.2,0.381
203,2.33,4.65,0.00018725,0.0216,3.49,81.4,41.9,0.837
204,2.33,2.33,0.0,0.0145,3.49,81.4,41.9,0.744
205,4.35,8.7,0.0,0.0,0.0,82.6,0.0,0.109
206,6.9,8.62,5.16e-05,0.0021,15.52,70.69,22.41,0.129
207,3.7,3.7,0.000556,0.0222,5.56,85.2,33.3,0.481
208,2.86,5.71,2.5e-05,0.0,8.57,77.1,45.7,0.514
209,5.71,5.71,0.000113,0.0,14.3,65.7,25.7,0.371
210,3.85,3.85,0.000577,0.0231,3.85,84.6,30.8,0.442
211,10.7,0.0,0.000536,0.0214,7.14,71.4,3.57,0.5
212,3.12,6.25,0.000469,0.0187,7.81,81.2,25.0,0.625
213,3.7,7.41,0.000556,0.0222,1.85,85.2,7.41,0.815
214,12.5,25.0,0.00107145,0.04865,30.0,35.0,15.0,0.45
215,20.0,4.0,0.00017424999999999998,0.029500000000000002,12.0,72.0,32.0,0.32
216,2.22,2.22,0.000133,0.0,4.44,60.0,40.0,0.244
217,1.4,13.4,9.082499999999999e-05,0.00168425,13.1,24.8,2.4,0.590551181102362
218,2.1,8.0,4.3574999999999995e-05,0.0021999999999999997,6.9,29.2,5.4,0.326771653543307
219,2.2,1.1,0.0001371,0.0162,18.5,1.7,1.2,1.25984251968504
220,0.0,1.6,0.00015855,0.0,14.925,2.875,2.0,0.0196850393700787
221,0.7,0.71,0.0,0.0,0.0,22.14,17.86,0.1
222,0.0,2.06,0.0,0.0,22.5,2.85,0.0,0.0157
223,0.303,0.0,0.0,0.0,0.0,15.8,13.3,0.00909
224,0.0,0.0,0.0,0.0,10.0,3.33,3.33,0.033
225,1.65,1.6,0.0001371,0.0162,19.0,2.0,2.0,0.0196850393700787
226,0.0,0.0,0.0,0.0,0.0,11.18,11.18,0.011
227,0.3,0.0,2.525e-06,0.024075,0.29,8.29,6.29,0.037
228,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0236220472440945
229,0.0,0.0,0.0,0.0,0.208,8.33,6.25,0.0375
230,0.0,0.5,0.0,0.0,0.5,9.2,8.9,0.047244094488189
231,0.0,1.0,5e-05,0.04,10.0,2.0,1.0,0.0
232,0.0,0.0,0.0,0.0189,0.0,12.57,11.0,0.031
233,6.67,0.0,4.8825e-05,0.010525,6.67,13.3,6.67,5.8
234,2.0,1.33,0.0001363,0.0066949999999999996,5.33,5.0,3.33,0.247
235,1.7,2.4,4.455e-05,0.00975,1.5,14.0,14.0,1.88976377952756
236,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0196850393700787
237,2.1,6.7,0.0,0.0,20.2,68.0,31.3,0.189
238,0.0,20.4,0.0,0.0,9.73,0.0,0.0,0.0531
239,0.0,19.3,0.0,0.0,7.02,3.51,0.0,1.14
240,0.0,12.6,0.00020575000000000001,0.0,9.0,0.1,0.1,0.15
241,1.0,5.0,7.8e-06,0.000468,16.0,75.0,50.0,0.110236220472441
242,6.2,6.0,1.5e-05,0.0,28.45,11.5,0.8,0.484251968503937
243,0.5,2.1,7.5e-06,0.009575,20.9,16.9,15.1,0.0591
244,4.2,3.2,4.1400000000000003e-05,0.0,9.8,55.0,39.6,0.11
245,1.3,1.3,7.7075e-05,0.02018,0.5,2.3,1.6,0.1
246,0.5,23.8,0.00032114999999999997,0.0,33.0,3.0,0.5,0.700787401574803
247,0.0,46.43,0.0,0.0,3.57,14.29,14.29,2.107
248,1.0,1.6,0.0001126125,0.0203,0.5,0.7,0.1,0.0276
249,0.1,0.1,0.0008575,0.0095,0.1,0.1,0.1,0.0039370078740157
250,0.25,3.5,0.00012,0.003125,1.75,4.6,4.6,0.0394
251,0.0,6.67,0.0,0.0,0.0,80.0,0.0,0.0
252,6.2,0.5,0.000714725,0.082235,0.8,71.2,52.8,0.11
253,7.4,25.0,0.0,0.0,56.0,6.5,4.0,0.0157
254,7.4,25.0,0.0,0.0,56.0,6.5,4.0,0.0157
255,0.5,0.5,3.125e-05,0.0115,0.5,0.5,0.5,0.015748031496063
256,13.7,5.6,0.0053462499999999994,0.001035,62.0,6.1,6.1,0.0
